Date,AAPL,GOOGL,MSFT
2024-02-09,187.71632385253906,148.11172485351562,415.82977294921875
2024-02-12,186.02650451660156,146.65048217773438,410.5991516113281
2024-02-13,183.92918395996094,144.27474975585938,401.759521484375
2024-02-14,183.04452514648438,145.06997680664062,405.6426696777344
2024-02-15,182.7562713623047,141.9188690185547,402.74017333984375
2024-02-16,181.21559143066406,139.6822967529297,400.26373291015625
2024-02-20,180.47006225585938,140.27870178222656,399.0055847167969
2024-02-21,181.22552490234375,141.70018005371094,398.4013366699219
2024-02-22,183.26321411132812,143.23098754882812,407.78240966796875
2024-02-23,181.42433166503906,143.1017608642578,406.4847106933594
2024-02-26,180.0724639892578,136.74986267089844,403.7110290527344
2024-02-27,181.5336456298828,138.0520477294922,403.65155029296875
2024-02-28,180.33091735839844,135.56695556640625,403.88934326171875
2024-02-29,179.6649627685547,137.63458251953125,409.75372314453125
2024-03-01,178.58148193359375,136.3224334716797,411.5961608886719
2024-03-04,174.04885864257812,132.55502319335938,411.0216369628906
2024-03-05,169.0987548828125,131.8790740966797,398.866943359375
2024-03-06,168.10475158691406,130.61663818359375,398.3122253417969
2024-03-07,167.9854736328125,133.57888793945312,405.2959899902344
2024-03-08,169.70509338378906,134.60275268554688,402.4034118652344
2024-03-11,171.71295166015625,136.84925842285156,400.7193908691406
2024-03-12,172.19007873535156,137.67434692382812,411.3782958984375
2024-03-13,170.1027069091797,138.9566192626953,411.1999816894531
2024-03-14,171.96145629882812,142.2469024658203,421.22491455078125
2024-03-15,171.583740234375,140.3383331298828,412.507568359375
2024-03-18,172.67715454101562,146.79959106445312,413.39910888671875
2024-03-19,175.02294921875,146.15345764160156,417.45068359375
2024-03-20,177.597412109375,147.85325622558594,421.23480224609375
2024-03-21,170.3412322998047,146.72007751464844,425.33587646484375
2024-03-22,171.24578857421875,149.8711700439453,424.7118225097656
2024-03-25,169.82437133789062,149.17535400390625,418.88702392578125
2024-03-26,168.6912078857422,149.77175903320312,417.6884460449219
2024-03-27,172.26959228515625,149.97056579589844,417.47052001953125
2024-03-28,170.45057678222656,150.03021240234375,416.76715087890625
2024-04-01,169.00929260253906,154.5630340576172,420.58099365234375
2024-04-02,167.82644653320312,153.63858032226562,417.4803771972656
2024-04-03,168.63156127929688,153.99644470214844,416.4997253417969
2024-04-04,167.80654907226562,149.63259887695312,413.953857421875
2024-04-05,168.56199645996094,151.59085083007812,421.52203369140625
2024-04-08,167.4387664794922,153.92684936523438,420.600830078125
2024-04-09,168.65145874023438,155.6664276123047,422.2749328613281
2024-04-10,166.77281188964844,155.20913696289062,419.2832946777344
2024-04-11,173.9892120361328,158.4596710205078,423.909423828125
2024-04-12,175.4901580810547,156.78965759277344,417.93609619140625
2024-04-15,171.6533203125,153.93679809570312,409.75372314453125
2024-04-16,168.36318969726562,153.4795379638672,410.684814453125
2024-04-17,166.99147033691406,154.54315185546875,407.9705810546875
2024-04-18,166.0372314453125,155.07992553710938,400.4717102050781
2024-04-19,164.00946044921875,153.17137145996094,395.3701171875
2024-04-22,164.8444366455078,155.34832763671875,397.19281005859375
2024-04-23,165.8980712890625,157.3165283203125,403.7407531738281
2024-04-24,168.00535583496094,158.1813507080078,405.2167053222656
2024-04-25,168.8701171875,155.0699920654297,395.2908935546875
2024-04-26,168.28366088867188,170.92491149902344,402.5024719238281
2024-04-29,172.45846557617188,165.1594696044922,398.470703125
2024-04-30,169.30747985839844,161.8095703125,385.6720886230469
2024-05-01,168.28366088867188,162.8831329345703,391.2293701171875
2024-05-02,171.99127197265625,165.62667846679688,394.10211181640625
2024-05-03,182.27915954589844,166.24298095703125,402.8392639160156
2024-05-06,180.6191864013672,167.09786987304688,409.6546325683594
2024-05-07,181.30502319335938,170.22906494140625,405.49407958984375
2024-05-08,181.64300537109375,168.37022399902344,406.682861328125
2024-05-09,183.46202087402344,168.94676208496094,408.44610595703125
2024-05-10,182.19793701171875,167.6445770263672,410.8433532714844
2024-05-13,185.4128875732422,168.13165283203125,409.83294677734375
2024-05-14,186.55751037597656,169.3245086669922,412.6462707519531
2024-05-15,188.8368682861328,171.4815673828125,419.86090087890625
2024-05-16,188.95631408691406,173.1416015625,417.7868347167969
2024-05-17,188.9861602783203,175.01040649414062,417.01275634765625
2024-05-20,190.15072631835938,175.8652801513672,422.103759765625
2024-05-21,191.4546356201172,176.7897186279297,425.7756042480469
2024-05-22,190.01138305664062,175.32850646972656,427.24432373046875
2024-05-23,186.0100860595703,172.51535034179688,423.7510986328125
2024-05-24,189.0956573486328,173.94679260253906,426.8870849609375
2024-05-28,189.10562133789062,175.34837341308594,427.04583740234375
2024-05-29,189.40420532226562,174.85134887695312,425.90460205078125
2024-05-30,190.39956665039062,171.08395385742188,411.51495361328125
2024-05-31,191.3551025390625,171.47161865234375,411.9714660644531
2024-06-03,193.12681579589844,172.1376190185547,410.3736877441406
2024-06-04,193.4453125,172.75392150878906,412.904296875
2024-06-05,194.95823669433594,174.36427307128906,420.78387451171875
2024-06-06,193.57470703125,175.6763916015625,421.28997802734375
2024-06-07,195.97348022460938,173.41995239257812,420.6250915527344
2024-06-10,192.22103881835938,174.16632080078125,424.614501953125
2024-06-11,206.18572998046875,175.76853942871094,429.38787841796875
2024-06-12,212.0782012939453,176.9329376220703,437.7041320800781
2024-06-13,213.24273681640625,174.31561279296875,438.2201843261719
2024-06-14,211.50086975097656,175.937744140625,439.2026672363281
2024-06-17,215.6614227294922,176.3855743408203,444.95849609375
2024-06-18,213.29249572753906,174.2459259033203,442.9439697265625
2024-06-20,208.70394897460938,175.45010375976562,442.308837890625
2024-06-21,206.524169921875,178.76405334472656,446.3577880859375
2024-06-24,207.17112731933594,178.3560333251953,444.2638854980469
2024-06-25,208.0968017578125,183.14283752441406,447.5188903808594
2024-06-26,212.25733947753906,182.99356079101562,448.71966552734375
2024-06-27,213.1033935546875,184.5161895751953,449.4044494628906
2024-06-28,209.6395721435547,181.2718963623047,443.5493469238281
2024-07-01,215.7410430908203,182.10784912109375,453.2549133300781
2024-07-02,219.24465942382812,184.3470001220703,455.7854919433594
2024-07-03,220.51870727539062,184.92420959472656,457.26416015625
2024-07-05,225.28640747070312,189.68116760253906,464.00250244140625
2024-07-08,226.75953674316406,188.1187286376953,462.69256591796875
2024-07-09,227.61550903320312,188.0689697265625,456.0435485839844
2024-07-10,231.89549255371094,190.25836181640625,462.7024841308594
2024-07-11,226.5106964111328,184.67543029785156,451.2403564453125
2024-07-12,229.46685791015625,184.17784118652344,450.09912109375
2024-07-15,233.3088836669922,185.6307830810547,450.5059814453125
2024-07-16,233.72694396972656,183.0333709716797,446.0997619628906
2024-07-17,227.81460571289062,180.14736938476562,440.1454162597656
2024-07-18,223.13645935058594,176.83338928222656,437.0194091796875
2024-07-19,223.26583862304688,176.8035430908203,433.7841796875
2024-07-22,222.91749572753906,180.79421997070312,439.5698547363281
2024-07-23,223.96258544921875,180.91363525390625,441.4653015136719
2024-07-24,217.522705078125,171.79779052734375,425.6366271972656
2024-07-25,216.47760009765625,166.47357177734375,415.216552734375
2024-07-26,216.94541931152344,166.1949462890625,422.0342712402344
2024-07-29,217.22412109375,168.71273803710938,423.4831848144531
2024-07-30,217.78150939941406,169.46908569335938,419.70220947265625
2024-07-31,221.0462188720703,170.71304321289062,415.16693115234375
2024-08-01,217.34356689453125,169.9368133544922,413.93634033203125
2024-08-02,218.83657836914062,165.85658264160156,405.3819580078125
2024-08-05,208.29586791992188,158.4822998046875,392.1434326171875
2024-08-06,206.26535034179688,157.52691650390625,396.56951904296875
2024-08-07,208.84332275390625,158.1737823486328,395.3985290527344
2024-08-08,212.3170623779297,161.24888610839844,399.6260986328125
2024-08-09,215.23342895507812,162.8809814453125,402.9307556152344
2024-08-12,216.76803588867188,161.5076446533203,403.7146911621094
2024-08-13,220.49493408203125,163.36863708496094,410.8599853515625
2024-08-14,220.943359375,159.59689331054688,413.6882629394531
2024-08-15,223.93284606933594,160.52239990234375,418.5796203613281
2024-08-16,225.25819396972656,162.17442321777344,416.0345153808594
2024-08-19,225.09873962402344,165.8665313720703,419.07672119140625
2024-08-20,225.71656799316406,166.3740692138672,422.32769775390625
2024-08-21,225.60696411132812,165.05047607421875,421.67156982421875
2024-08-22,223.74351501464844,163.01036071777344,413.13153076171875
2024-08-23,226.04542541503906,164.82159423828125,414.36431884765625
2024-08-26,226.3842315673828,165.35897827148438,411.08349609375
2024-08-27,227.23126220703125,163.8861083984375,411.43145751953125
